video_id,comments
PqEVGdz_ZRo,"['Rec Room is free and available on all platforms! Get it HERE: https://recroom.sng.link/Da56h/iacv', 'THERE WAS A PARKOUR CHALLENGE?????', ""Why is no one talking about how Harry's avatar is black lol."", '3:04 “from what I remember” 😭😭😂🤣😂😭😭 editors are top tier', '7:45', 'Vikk “first to win gets 10k” \nHarry immediately takes a photo of the maze', 'this was so funny', 'Is this a  COMPILATION?', 'Imagine JJ playing this game 😂', 'I have never laughed this hard 😂😂\n29:40']"
8aGu9aIMah4,"['I totally agree. When they say greatest sidemen mukbang ever then it had to be the best mukbang ever. Not clips from all the other ones!!', '6:18 To look it back, Ethan really want a boy first but he got lil Olive. On the other hand KSImon wanted him to got 5 girls. There’s 4 more to go for KSImon to win. 😂', 'poor olive, never show her the clip of ethan 😂', 'Ethan got a girl first 😂 JJ definitely cursed him with da black juju', ""Noooo why compilations.  Man I love your videos. I've seen all more than once  I don't want compilations.  Haha ill watch it though"", 'lol', '6:23 damn that aged well😅', 'Behz I will give my wife lemons for a boy well he’s got a girl. Mission failed', 'camera girl would be like, cant you guys see me', 'ethan: i would feed my wife lemons, i really want a boy. Faith: mission failed...']"
LTBqSNJnxNA,"['Randdyy Killed me this video 😂😂😂😂😂😂😂😂', 'You know the video is gonna be good whenever harry and vikk are both present', 'For the last race I would have just driven to the checkpoint from road lol', ""Can the lads nice JME for a video and turn him into a streamer? Youtube Data Analytics'know just for the video mainly but he can use the set up for collabs in the future."", '🤣🤣', 'And Randy got a kid omg t', ""Watching this back makes me understand how severely Autistic Harry is and how childish and foolish he really is. Simon was waiting and all you see is a 8 year old bad at games Harry bot wait even though first place wasn't his to have. Dope"", 'Why does vik sound like an 8 year old when he screams', 'I love how harry turns into hitler everytime vik is in his way 😂😂😂', 'you guys should play golf in gta V']"
eNX5I9Pzgsw,"[""I've been hating the shameless clickbait lately ngl"", '3:15 I love how immediately when the letter J is pulled out everyone thought of the sane sentence 😂😂😂😂', '0:34 😂😂😂', 'BAHAHAHAHAHAHA \nEthan: “A” “Milk”  😂😂😂', '!FOLABI', '20:17 looool... auto translate captions said about _Coprastastaphobia_ that is... _Cobra started phobia_  \nDaaamn good autocorrection 🤣🤣🤣', 'In which american was john f kennedy assassinated\n\n31:37 btw', 'what you changed the thumbnail', 'We have to admit that moreSidemen are better than sidemen', 'a video clearly caved in so we got a compilation']"
SVe93jQP2EY,"['Little too far like your girlfriend is right now... Just finish up', 'Your mom pulled a magic trick when she had you too....', 'I know its been years since you saw your pecker. Friends have been waiting', 'Dont cry stanley', 'Never seen anyone pull off new balance like ethan. Im going to call him Hippo hip ethan', 'takes sip of his drink', 'Come here no no', 'I got them sitting like the three little pigs.  They got chiny chin hairs too', 'dad joke', 'I didnt say anything. Growing boys']"
Gn-ITNbOqPQ,"['rhandi lol', 'Kim Jong Pooh fucking killed me', 'I swear this voice over guy does the NBA 2k voiceover too', 'Rob Schneider is not the jackass guy from happy Gilmore 😂', 'Hmm', 'These vids will never do that well but I love these every single time', 'This was so good glad I came back to it', 'This was theyre last video that didnt have sidemen or KSI in the title', '6:21', 'For anyone who is confused\nSidog= miniminter\nRhandi = Randy\nEatsides= Ethan \nXiXVodkastar= vik\nTommy T= josh']"
WYueeB1XV9I,"['We all knew Harry wasn’t going to stop hahaha', 'Randolph looks like santa clauses son', '""what is this flippin\' Bugatti R8"" \nBruh JME has me dead 😂😂', 'does anyone else think Ethans laugh in this at 10:50 sounds like a chimp making noises 😂', 'GOD IS GOOD 🙌🏻🙏🏻 GOD loves you 💕❤️', 'Not jme calling a Bugatti a r8 😂😂😂😂', 'Gosh i hate harry so fucking much.', ""guys why haven't you made Randy an official sidemen yet? it's it because of the financial aspect?? if so it's cool just wish he would at least be apart of more events where his comedy can be showcased. he's genuinely funny like Harry"", 'Randolph is sooo stupid he’s literally in his own world', ""me : reading comments about ethan's background\nalso me : why didnt anyone mention about randy lagging, was it me or is randy actually lagging""]"
82fOkboxppE,"['randy made sure throughout the episode that there would be no dead noise at all. man made sure to talk whenever he could', 'Top 3 MoreSidemen video', '10:38, holy shit, it got me DYING', '10:44', 'Yo JJ would have dominated this game', '14:30', '6:41 the way he just starts laughing 😂😂', ""Vikk's laugh is starting to become like JJ's and Ethan's"", 'Still waiting for the beat only rap battle video', '9:25']"
4NCN_hzAPhQ,"['We need more GTA content its the funnies things in this world', 'Only a minute and twenty seconds in and I am crying', 'All you can learn from this is that Vik is a liability on any team lol', 'plz gta V again', 'Imagine the sidemen playing gta when they’re fifty but they’re racing in wheelchairs instead of cars', 'Football is the best I love football', 'What video was the first clip from', 'I love it how Ethan is Harrys biggest Fan 😂', '3:33 which video is this one from?', 'anybody else noticed ksi pfp']"
z6JWNxibmqM,"['Part 2!!!', 'Same squad needs to play', 'It’s better then a U😂😂😂😂', 'We need more of this game', 'Literally just re watched this 😂😂 so what made you think he was an opp then ""CAUSE HE WAS BLACK"" 🤣🤣🤣🤣🤣🤣', 'DO THIS ONE AGAIN', 'Here from shorts', 'soldiers when they didnt go through camp\n“hands on the floor”', 'KSI Olantities Sucks at Every Game! \nwhat a D***Head!!', 'sidemen should do this irl']"
L-tSskyLGRI,"[""It's been a year and I'm still re-watching this"", '16:50 This killed me. 😂😂', ""'I was in Simon with Cafeteria' - toe B"", ""what's the music when jj falls asleep at 31 40"", 'My favorite part 21:25', 'Lachlan is literally the 9th crewmate 😭😭', 'Bro he was the engineer', 'Amodpaswancoedy😀😀😀😀😀❤️❤️❤️💪', 'viks picture with the pack 🥲', '13:45 I see you Harry you cheeky little minx']"
kYOIp4LcTLM,"['underrated moment when josh picked the underage girl lmao', 'My video was paused for like 10 minutes and it randomly went onto an ad. Hmm', 'Jelly and Josh did this map first BTW just saying', 'They do know there’s a music volume button in all games right lmao', 'Get the rest of the boys on this, will be a golden sidemen rage moments comp', '31:01 ksis kill me lol', 'Whats the maps name?', 'Josh going on mistys side then it saying shes underage was jokes.', 'What is this game called', 'What game is this']"
YYmax6Qh2Hw,"['💙', '6:20 intense moment \n\n8:52 \n\n11:38 \n\n12:34 \n\n12:49 \n\n13:43 \n\n14:07 \n\n14:56 \n\n16:07 16:13 \n\n16:20', 'make more plssssss', 'more pls', 'Best series was when they used to play this', 'Can we get a new DBD video please? I have watched the same old ones like 5 times already xD', 'Bro sidemen dbd is underrated, we need this to be brought back', 'More dead by daylight pleaseeee', 'omg ethan and josh, but mainly ethan making so many 0 iq moves in this kms', 'Please play more dead by daylight']"
ttn2nhcLEEU,"['Josh would be top lol', 'Shoutout to all of yous lot that like the video before you watch it', 'Sneaky thumbnail', 'when jj drove off thinking they won and mid flight he released he fucked up', '8:10 watta f*ck', '23 minutes of my life watching idiots play a racing game', ""JJ Is So Cheating\nIt's Like On His Real Life.."", '14:10', '6:03', 'Yt actually suggested me two videos having same photo of jj in thumbnail 😂 fyi another one is sidemen trying hotwings']"
D2MdGllqX7k,"['JJ killed me during this. I love the feeling of not being able to stop laughing', 'Is jj chewing something I’m struggling to watch this with that sound', 'noncestar123', 'JJ and Ethan laughing at the same is *GOLD*', '11:24 What does Vik say?', 'Both times when JJ and Ethan laughed hardest in life was when laughing about vikk\nFirst being plunjide if anyone watched old videos regularly', ""JJ and Ethan's laugh are too contagious lmaoaoo"", 'Found this vid by searching ""vikkstar nonce moresidemen"" hahaha legendary vid', 'Nah Josh was a sellout for this. He first said ""it\'s just touching, you kid just have your arm on their shoulder"" and then after the vote when Vikk said they made it weird, he goes, ""its a bit weird mate""', 'Who’s Keith']"
yAQqeRh0b3Y,"['Where can I get this among us??', 'That was cheating tho can’t report the body at cafeteria I know man', 'Scintifically XDDD dumbesdd XDDD', 'Lazar is a W imposter', ""Lazar didn't deserve the L in the second round. JJ cheated"", 'Simon and Josh pulled a stinker in the first game🤣🤣', ""I love watching these but man, they are slower than a sack of potatoes. Except Vik when he's there"", 'One year later, this video is still great! 😂', 'KSI PLAYING WITH THE LIGHTS AND HIS LAUGH IS KILLING ME', 'Jj ruined the imposters run']"
r2sCa_y6YeI,"['💙', 'You need to go back to Simon saying the playlist', 'Tobi is lucky he established himself with these guys he’s is really unfunny', 'More meme Olympics', 'Harry’s really trying bless him 😂', 'I hate zerka. He is so boring that he thinks if he wins this races he will be someone , but all he does is ruining this videos .Just have some fun Mann.', 'This videos happened last year😅', 'How do one access these races? I cant seem to find them', 'When ksi said ""I GOT DICK IN THE BELLY""😂😂😂🤣🤣🤣💀💀💀', 'vik- ""Excuse me JJ"" ... ""Bye JJ""']"
EhjcQhEQDNM,"['This is just laughing the entire time. It’s the funniest shit I’ve ever watched', 'In Romania we play this game without the helmet 🤣🤣🤣 and when we was 13 years old 🤣🤣🤣', 'Video title bullying vik and laughing', 'What is the name of that beat in the beginning', 'Funniest MoreSidemen video 110%', 'please do a part 2', 'Honestly the first guy was so beaten up, he never moved his hand again just to avoid getting on the seat again', 'JJ HAAAAAAAAAAAAAAAAHahahahaaaaaaaauaaaaa', 'The least effort yet the most fun. I love these guys', 'Now you know why Men have lower life expectancy 😂😂']"
XoJlg8ao7d8,"['5:09 - 5:17 funniest bit ever', '#CancelVic', 'They make the Aussies wake up at 12am, why don’t they make themselves wake up in the middle of the night so the Aussies can have a break', 'We', '14:25 just me or laucky say the n word', 'did lachy say the n word on minute 14:24', 'KSI and Harry is my favourite people in sidemen', 'jj and harry best duo', '7:45 anyone else notice how clean the transition between Harry and Simon was?', 'When the Sidemen bring in guests you can really see how daft they can be lol even Vik who sounds smart but only around the Sidemen']"
f7tAUEkvndI,"['Tobi lied on that coin flip', 'rename this to KSI ragging', 'Lux voting himself and throwing at the end is so funny', ""Let's be honest the censoring ruins the video"", 'Watching this in 2023 and realizing that Ethan has always been a third imposter and its infuriating 💀', ""It's funny how the editor just gave up on bleeping cuss words after 5 minutes 🤣 😂"", 'Censoring ruins the video ...', 'We need the ja asking Chris where he was when he was Chris 😂', 'notice how all the clips have ksi 😂 we need more jj impostor videos', 'Benz losing hair 😨😨😨😨😨']"
rtVrjG_0X5A,"['Vik had time to take several naps 😂', 'Had they just let a tad bit of water out, it would’ve worked', 'It’s called “Sardines”', '5:39 Simon being so nice and picking up the bottle for every player 🥲', '2:10', 'Simon put the grippers away', 'why does Simon never have shoes😭😭😭😭😭', ""They're pract  playing sardines"", 'Vikk in there thinking ""how are they stupid they can\'t find me till now?""😂', 'Vik saying ‘get your shit off and come in here’ to Simon KILLED me 😭😭']"
bAEM_eJmrT0,"['Vik truly looks cool yk.. in the team introduction', ""Bro when the editors gass me up with the music when they are about to score but then they don't score and then they stop the music I get so much disappointment"", 'these lot always make me laugh sm', 'Josh gotta b the worst fifa player ive ever seen. This man sells in every video ive watched', '27:16 I died😂😂🤣', 'bro u guys chill out it wasnt even vikk then relax bros ethan specially there 29:09', 'JJ is so fucking pessimistic in these damn', ""Vik is worse in football even worse in virtual football. How can someone be a gamer and be so worse in FIFA. Wow this guy just wasn't made for any kind of sport, virtually even. Lol 🤣"", 'Tobi screaming f*** is hilarious', 'No offence zerka is a liability 😂']"
UkvLWc0tD1I,"['Jesus Christ Loves ❤.', 'Lmaooo thank goodness for the editors having Tobi’s back!', '11:17 This should not be funny', 'Iss that stupid boy you love and hate', ""10:18 I'm pretty sure they're A10s not b11s"", '13:53', '3:35', 'https://www.youtube.com/watch?v=B7IBx4mSrjk&t=196s', 'Half the time they’re in planes they’re just recreating 9-11', 'Editor needs a raise for the Peter Kay reference 🤣🤣']"
VCMI4_iWao8,"['J', 'I love how this game perfectly diagnosed all of the sidemen’s personalities 😭', '.', 'Harry won , but at what cost ?', 'Why did I think they were actually going to out themselves?', 'We need another man', 'Spanish friend friend', ""Steely Dan is a dildo technically, but also a band...it's complicated"", 'Can we get some of these without josh? I know he has nothing better to do but sit in and play every single game but it doesn’t mean he has to be in every single video.', 'YALL SHUT UP I WANNA HEAR THE GAME']"
FfcrdMokgZw,"['Hi Ethan', '2:08 Harry’s coldest moment', '10:07 whats the name of background music', ""JJ should just give me his gaming setup cause it's obvious he does not need it"", 'Pog', '0:08', ""what's with this whole cap bullshit, just say lie, they have the same number of letters, I feel like people are just saying something different just for the sake of it"", 'Josh- ""Where did Harry go?""\nHarry- ""I uh, oh, i uh iv\'e been fingered and abused at this point""  🤣🤣', 'JJ ain’t wrong tho coloured people win more races', 'That last race was top tier edge of my seat driving']"
lmN0XiHGBJI,"['article 5629 on why vik is a complete helmet! should of been in isis', 'Anyone know the name of the background song?', 'First thing to watch on the new years', 'Tuesday 4th January 2022', '14:43 Ethan is a what ?', 'Oi why vik on this wild smoke😭😭😂', 'Impossible challenge for Simon “don’t try so hard in each game”', 'Vik is my g', 'Did anyone hear a ring door bell😂', '13:28 who else thinks vikk has one of the most contagious laughs']"
jrDUceO7ewk,"['if u pause at 11:37 the face josh makes is hilarious', 'It’s the 123', 'Bro ethan should have one that last one😂', 'vik using bequeath in a bar has me in tears', '-', ""Can't listen the rap"", 'One of my favorite videos! 🤣', 'Harry should start onlyfans..with hand in his pants', 'I knew Tobi would call himself MistleTobi', ""Ethan's laugh sounds like Elmo's. 🤣🤣🤣""]"
5PVJEC_bprg,"['Dino Harry', ""Jurrasic park can use that Harry's scream in their next movies"", 'Bro Tobi is so nice with the hand to hand. 💀', ""Now Zerkaa's Twitch bit of the VIIIIKKKKKKK scream makes sense having seen this video."", 'Just came to say its been a yr since bogzilla', 'i was enkoying the f1 reference then out of nowwhere\nHARRY: screams like a godzilla', 'Notice Harry the worst at gta in all of sidemen is the only one who uses earbuds 😂', 'The last race had everything you’d want in a GTA race 😭😂🤣', 'The last race was golden but lets be honest... the sumo was hilarious', '20:32  Iconic Godzilla scream']"
pL9pSiew0BE,"['16:28 desperate blunder by ksi', '12:27', '', 'ksi said a nono word', '9:35', '""then ellum jumped in the vent"" bro ellum literally reported it', 'JJ as imposter: 🧐😈🥱\nJJ as crew:🤡🥸😵\u200d💫', '""I\'m just going to say i saw him vent"" 😂😂😂😂😂😂🤣🔥', '0:59 randy is so funny 😭😭', 'Put your banjo on it has to be THE MOST underrated JJ moment']"
JnCqzpJ3CHE,"[""The quiz pissed me off so early and I wasn't able to enjoy the rest of the video. \nThere are 9 reindeer not 8 and Dancer is one of them."", 'I see why the reindeer may be female but the popular song refers to Rudolph as a ""him"" .\n""then how the reindeer loved him""', 'what? Dancer is one. maybe he should have used google for this one.', 'if you include Rudolph its 9. cause tobi was right. he leads the rest are stacked 2 behind him.', ""Is Rudolph not included, I mean I know he's not included in a lot of Christmas movies except for the movie Rudolph The Red-nosed Reindeer, but still?\nDancer is not a reindeer? You need to hear the Christmas song Rudolph the Red-Nosed Reindeer.\nAll reindeer are male. Screw science, because if it's correct, it wouldn't know that a female rein(deer) is called a DOE, and they don't have antlers when it shows that all of Santa's reindeer do.\nWhoever wrote these questions on Google is a freakin' moron"", 'My parents made us watch krapus Christmas Eve at 10 and I couldn’t sleep', '15:57 vik given 3 points despite getting it wrong lol', 'Hear crazy people.... MALE OR FEMALE', 'Just watched the 2022 Christmas Quiz video and somehow found myself here again', 'Nearly Christmas lol']"
EDwqvZhztbI,"['1:01', 'How people think among us videos are better than these I’ll never know', 'they look like cupcake cups suggesting the name “recess cup”', '9:54 *Roblox TommyT Mod*', 'rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrright before the vid starts', ""😂😂😂😂 Harry's mom and sister: Emotional damage"", 'Merry Christmas everyone', 'Exactly 1 year ago today', '13:40', '9:52']"
1oQKN2GPI6k,"['🐐', 'Harry was better before', 'i wish i could play against the sidemen :3', ""Bro all I heard was deji and I'm like is there deji in this video then realized its bengi"", 'we need more of this', '12:29 ""Bro, this is, oh I can\'t believe what I\'m watching right now. I\'m watching my boys just get mowed down"" -Vikstar . Best quote of the whole video.', 'the editor put scar noises over the blue ar 💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀', 'Ksi is just to much', 'my friend one v one the pro easy', 'The fact JJ got a shot in at the start was good enough for me']"
K2SnAT56poQ,"['0:04', 'ethan trying to tell jj how to head the ball, the guy is dogshit at football', '🐐', 'Come on you irons', ""I'm trying to forget Ronald's legacy at United.. his interview with Pierce Morgan ruined his own legacy.. I will never ever show respect to baby Ronaldo as he disrespected the club  that made him!! Manchester United!! Why Ole bought you back baffles me.. I didn't want you back at United in the first place!! 😡😡"", 'i love how even tho harry and ethan arent on the same team there still hyping each other up when they score', ""What's song name that plays on scores"", 'Yes KSI', 'So confused. Harry put it in from a rebound and it didn’t count', 'please someone tell me the name of the song at 3:00']"
hqg1NSvAHKY,"['8:23 ', 'its like no one remembers that harry killed josh.. not even ethan, josh or harry..', ""Why is the top left of jj's screen blured?"", 'JJ is such a dumbass 😂😂😂', 'what is the music in the background at 11:55?', 'Everyone knocks Behz, and rightly so the guys a fuckin idiot in among us 😂, but he was bang on in the second game and it was Simon who threw it', 'Vik said my name', ""Boys plz, why the hell aren't you shipping to Australia? If it's good drop then it can and will be bloody consumed in excess"", 'Do one with a mod where’s there’s no skip button', 'Didn’t know that one Josh didn’t show his face very nervous I know']"
-M_Dt8QX3d4,"['14:38 JJ “I don’t like that instagram is trying to make life a popularity contest” \n\nAlso JJ “LETS CHECK YOUR MONTHLY LISTENERS THEN”', ""Josh is holding a grudge since his point that Skype  isn't goated got trashed."", 'How is Twitter not in the *Delete* section? 💀', 'I somehow agree with Harry opinion on every social media app', 'People nowadays who are 18 say that insta and snap are goated but as a 17 year old guy they just are over hyped especially Instagram like it’s got some funny videos but I’d rather use literally anything else\nSnapchat is decent because we all use it as a messaging app but we could use an alternative', 'Tobi sticking up for Pinterest is a huge W', ""I love the way y'all forgot about the og Yahoo Messenger!"", ""You can tell who's old or not a gamer, because they put discord below Skype. Discord is like the nexus for gamers. Skype is kinda garbage. I understand it use to be elite but it's shit now. Discord is a goat. Also, in my opinion, Twitter, Instagram, and Snapchat are all delete category."", 'I know this is an old video but twitch aint goated', 'you know the sidemen getting old when they put facebook above snapchat']"
bFmvjZPVAJo,"['I wish they could play it again', ""these guys aren't the smartest people"", 'what game is this?', 'JJ is the best at Squid Game', 'I really wanted JJ to win at least once 💀 😞', 'You can’t trust anyone in squid game', ""Vik's panic was hilarious🤣"", 'where can i get this game?', 'Fucking L kids pushing JJ off', '5:20']"
pGyObXARDaw,"['The British Version of the Finding Nemo Birds: FIVE! FIVE! FIVE! FIVE!', 'JJ was trying so hard to be funny but he was just annoying', 'Jj', 'harry actually nice', 'Vik is a pen merchant 😂😂', 'Playing indian music when vik scores is crazy', 'Love it', 'Oh damnn that was SUS ethaannn!!!', 'Sheeesh Ethan is a master at pens!!!', ""Behz is just weird...you can never see what's coming. He is cold, he is funny...godamn he is behzinga.""]"
Ws79ig1epEQ,"['Me not realising Theo was in the video till 6 minutes into the video', 'Harold is the dumbest person alive known to mankind', 'I started playing again because of the sidemen', '1:10 that tobi kill was jokes 🤣', 'ok but tf is nizzle', ""I hate it when people don't know their colors"", 'sidemen are so dumb in the funniest way possible lmaoooo', ""JJ is always like,\nEveryone: The body was near O2 and I saw Vikk come from that way!\nJJ: Ayo it's Vikk then, it's Vikk!\nEveryone: But, Ethan was moving kinda sus though!\nJJ: Ayo! Nah nah nah, it's Ethan it's Ethan I'm voting for Ethan!\nEveryone: Tobi, what task did you do?\nJJ: I've voted for Tobi! Dunno!\n😂😂😂"", 'Watching the Sidemen play this game makes me so angry', 'How tf is Harry like actually so stupid 💀. Bro literally saw ksi and was walking with randy, how tf did he get that wrong 😂.']"
sInAHEafcdQ,"['👁', 'Why did Simon snitch on JJ saying he knows the word😂', 'Honestly fisherman was the only word which helped me most to get ""snatch""', 'When ksi put his hand up to who knows answer 😂😂😂😂😂😂😂I JUST LOVE JJ MAN', 'KSI is always sleeping lol', 'Why am I watching a video in which even the Youtuber himself falls asleep ?', 'once when tobi was with simon and ethan, ethan looked happy HAHAHAHAHHA', 'JJ is always sleeping and he gets paid for this', 'Find a girl that looks at you the way JJ looks at Tobi 0:44', 'Salty Simon']"
nd7-rV3b2wI,"['do one more, all sidemen man', 'Reminds me of corpse voice use that voice bro on it I know', 'Dxflect and GIRO 🔥', '22:39 ""SUIIIII... oh shit"" 😭', 'what is thegame called', 'You died a lot ksi', 'josh quoting lock, stock and two smoking barrels/ bound for tha reload has made my day 🤣🤣🤣', 'Cum', 'suiiiiiiiiiiiiiiiiiiiiiiii oh shit= yes yes yes fuck no no no shit', 'well the title is clickbait']"
wFVEgR0hyTk,"[""I lost it, told that Green Goblin wasn't a super hero, didn't say Spider-Man :3"", 'Im a kpop stan, the artist part was easy', 'they need to gas tobi up more', ""KSI The Letter K Doesn't Stand For Knowledge."", ""Why does Ethan looks like he's on drugs"", 'Ethan actually pissed me off when he couldn’t name 10 superheroes 😂', 'Sidemen censoring the videos? Wow', ""Says Green Goblin but not Spiderman lol.   Should've said Gold Goblin, Black Widow, Flash, Hawkeye or Thor"", 'I like how Harry’s just casually eating', 'Simon: green goblin is a villain\n\nHarry: depends how you look at it\n\n😅😅 Harry?!! 😂😂😂']"
oTXOE1cPK28,"['lmfao that fake tobi did at 7:21 was so smooth even jj thought he was gonna get jumped by him XDD', 'The intro tho 😂', '5:35 ksi turned into killer bee 🐝...', 'KSI releases new rap called “what’s he gonna do?” 😂😂😂', '😂😂😂😂😂😂😂😂😂', 'Started slow, but got so good by the end. Great energy', 'Very interesting', 'Halo warm up 🤧😂', 'Grinchy grinchy grinch', 'The intro 🤣 \\']"
beMfjjtmUbk,"['13:17 creepy af face\n13:13-13:24 16:13 18:49 nice laughs', 'I keep going back to zerkaa’s donuts drawing', '9:05', 'I piss myself at these videos, KSI is just that bad at drawing it’s funny', 'Wait is Jose a lefty? Is that why he is not here?', 'josh draws the best', 'if i was doing this i would have to use my right hand', 'I love this game we need another video of this', 'We need another episode for this', ""everyone is making fun of THE ksi's art.. its just abstract 😔""]"
NvzuzULtmlc,"['Why no bats for the black guys in thumbnail', 'JJ sucks at GTA 5 and will prob be worse at GTA 6', 'Slogo used to be number 1 but now he’s number 2 after sidemen \n\n\n\n\n\nPS can ksi make a song about school', ""Bro I'm watching them for 14 hours and I'm not bored"", ""It's actually insane how bad JJ is at this game."", 'Josh not knowing u have to toggle the flashlight on lol', 'me to', ""Simon actually has no life, he's such a sweat"", 'Ethan vs simon 😂😂😂', 'Josh blow that pimple on your forehead FFS 🌋']"
06aTF7z6V5Q,"['KSI was giving away tons of money in his try not to laughs during those times! Of course he had less money than Vikk!😂', 'Love the bun in the oven question . Little did he know', 'Ethan has a kid now how could they predict that', 'Mate, bring me the horizon is fcking great', 'Ksi assist as always', ""I see no one talking about tobi ..I respect that guy..@TBJZL you're my best sideman"", 'No kid Ethan', 'Vik knowing a BMTH song is legendary', 'Tobi has a wack story of how he cracked a tooth, like i fell down a fridge and broke a tooth', '13:13 he looks like his... oh']"
nDXcuZw7CKA,"['Behz, Simon and Tobi all slewing any mistake JJ makes, but every single touch they get, they give up possession. Crrrringe', 'Ok.', 'god bless these editors man, honestly', '7:40. that build up 😂🤣😂🤣🤣😂', '6:14\nEveryone to Chris vs noah beck', ""3:58 couldn't believe it, but Harry is singing 2pac there ❤"", 'nah that white jersey glitch for both teams is dumb they shouldn’t even allow both teams to even have the same color', 'nah that white jersey glitch for both teams is dumb they shouldn’t even allow both teams to even have the same color', 'nah that white jersey glitch for both teams is dumb they shouldn’t even allow both teams to even have the same color', 'You know what I’ve noticed haha Simon can never take the blame he always blames someone else 😂']"
b191cr0B5X0,"['What’s your Nando’s order? 👇🐔', 'Im eating nandos right now', ""vik with the ultimate table manners. fork for fries no elbow on the table quiet until people have stopped talking so he doesn't talk over someone."", 'vik is just eating 🤣🤣🤣🤣🤣', '4:25 super cuteeeee', 'Neva use a phone like u still got a iPad a computer , console ect', 'Vik: *Trying to eat in peace*\nSidemen: Pussy rain! Yeah!!!', 'Simon and Tobi, halloumi sticks RULE!\n\n\n\nGreetings from Cyprus (halloumi is our cheese)', 'I think olajide means wealth woke up', ""1st question, Buy a cheteau bruh, ya'll have the funds. Doesnt need to be 15 years but a series of videos in that chateau""]"
2rykM9Ksn8k,"['JJ with the "" is there anything easier arteta ""😆😆 these lot are crap', 'Arteta what a sport', 'Why are viks shots so weird', ""12:13 arteta : what's ur name ?\nolatunji : JJ\nKSI was humbled in that moment"", 'Ksi in the add not serious', '14:50 Kons girl is getting the number kerstiy I am watching you 😅', 'Prime time❤', 'Was it just me who saw billy wingrove in the background', 'bro i thought he sasy suck a manager,XD', 'We want more sidmen football videos']"
RsDhEh3-9q4,"['Turn was said 198 times', ""Harry just needs to turn when he's on the corkscrews he just leave his wheels facing forward 🤣🤣"", 'Up to the point 11:03 where Harry announced the ""turn count"" , ""turn"" had been said 36 times(if you include turned, turning, etc. and Harry and Ethan saying it before 11:03 ) . Immediately after, JJ spammed and said ""turn"" 33 times(32 if you don\'t count ""...turn, tu-turn, turn"" at 11:14 ) , and while he spammed, Josh and Ethan said it 5 times each.', 'ethan killing jokes as always', 'The fact that Tobi wasted his life at the end by going on the right, rather than the left because JJ went on the left??', 'You can actually  loose  brain cells watching  them struggle  in such easy  races  ...', 'i was searching and searching for ""I\'m just tryna turn"" and i finally found it', '44', '""turn"" count: 40 on the dot', 'Have they ever heard about first person']"
b88P3DVJmRE,"['‘Right is always right’💀💀💀\n                    \n                            -famous last words of vikkstar', '14:58 Bro got launched and detonated 💀', 'Lol', '22:28 what was that cough', 'A year on I have now realised when Behz was chasing Harry that he was literally hitting him for 0 every time', 'Watching them struggle makes this a lot funnier', '25:21', 'I swear harry is part dinosaur or something man screeches like a pterodactyl', 'When Vik said” would’ve like to play this one” 😂', 'man the last match was trash dog shit you know what i mean']"
_F6q-3y6b9s,"['The Sidemen XIXmas Advent Calendar’s are out NOW! 🗓🍫\n\nThere are 10 Golden Tickets to be found and some insane prizes to be won! 🎫\n\nThey’re only available on www.SidemenClothing.com 👕👖', '37:10 La Lamborghini La Lamborghini 😂', 'jj looked at the camera knowing he was getting a shot 🤣🤣😭', 'if jj got to keep the charizard that would have been the best reward out of all these. It literally worth $20,000+', 'That spoon hit hurt my ears', 'Nah twist him!!! .... JJ', ':)))', 'Ksi need some prime', 'the ""2 FinGeR"" neck slap...', '32:20 harry: u can hold this bang to the face']"
kaxTz5y9O68,"['The Sidemen XIXmas Advent Calendar’s are out NOW! 🗓🍫\n\nThere are 10 Golden Tickets to be found and some insane prizes to be won! 🎫\n\nThey’re only available on www.SidemenClothing.com 👕👖', 'One year of this video tomorrow :,) (also possible sidemen advent calendar again this year?!?)', ""why doesn't harry reposition his camera like that surf level😂"", 'Literally fall guys maps', 'lol', '7:18 Harry Rages', ""harry keeps his camera the same direction the entire time so he can't see whats in front of him half of the time so he does shitty, weren't these guys like the top gaming youtubers 8 years ago"", '8:37 🤣 nice extraction system 🍁💨', ""If Harry just finished the surfing round, he would've been ahead of JJ by 1 point."", 'So irritating when Harry couldn’t do the board one like MOVE THE CAMERA']"
N22kl2d4ypE,"['I love how every goal Harry just immediately dives headfirst into the ground. Whether he scored or not', 'More', ""how is harry so bad?? Doesn't he play fifa the most??"", 'So who is brown ? \nToni - Vikk 😂😂😂😂', 'Harry are you aurtistic', 'indian music for vik', 'What canara is that', '30:23 im dead😂', '33:57 jj : ok so who do you think you are \nim dead 🤣🤣🤣🤣', 'Ok.']"
